model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 27.630799986965464}",-0.07438827130810022,"[-0.024180384185845005, -0.12459615843035543]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.5470958549309934}",-0.5855840223751889,"[-0.9712589234803477, -0.19990912127003013]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 43.98550589524232}",-0.03569318093922086,"[0.01785551067837432, -0.08924187255681604]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.543941231681779}",-0.2674408746691197,"[-0.3469926839134978, -0.1878890654247416]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 44.17800353023779}",-0.03534301001037227,"[0.01818892935429617, -0.0888749493750407]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.956244022128883}",-0.15705301907969904,"[-0.14626960717941406, -0.16783643097998402]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 14.98866107685077}",-0.13216640655694833,"[-0.1056305594857041, -0.15870225362819257]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.1913405152468184}",-0.38189520862739756,"[-0.5686656274561024, -0.19512478979869274]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 73.83306613811968}",0.004225384690101308,"[0.05089304948700002, -0.0424422801067974]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.550088256963294}",-0.1994825744136366,"[-0.22053452344664626, -0.17843062538062693]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.8688099841937895}",-0.5265186306694625,"[-0.8540372780174061, -0.1989999833215188]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.59446613570237}",-0.2381749174817651,"[-0.29175918198649575, -0.18459065297703448]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11417725427734145}",-2.046055158248823,"[-3.8883740687432464, -0.20373624775439958]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.80301646482701}",-0.8243643543430978,"[-1.4467819339105672, -0.2019467747756285]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.044303752452182654}",0.0925976188964922,"[0.09182827353594236, 0.09336696425704205]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.13981961408994045}",0.031394029068084195,"[0.038265813583007846, 0.024522244553160544]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.06431172050131989}",0.081698997847721,"[0.0835894523579862, 0.0798085433374558]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0431171005868549}",0.09306342143983459,"[0.0920616442170673, 0.09406519866260188]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.018662266976517967}",0.0932357967809283,"[0.07956690929848842, 0.10690468426336819]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.08663279761354557}",0.06430701047563381,"[0.0679340888881671, 0.06067993206310052]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.020547625125911337}",0.09466820981224161,"[0.08211956242475638, 0.10721685719972684]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.4734989304499475}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.7780155576901415}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.014135935551752304}",0.09009521014275512,"[0.07512039968690787, 0.10507002059860238]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.2372330072992193}",0.0020179416235581726,"[0.006598781629280959, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.03860866271460544}",0.094899189458853,"[0.09257673956680401, 0.097221639350902]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.05059803874660431}",0.08971124910522948,"[0.09000443697057925, 0.08941806123987972]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.5981221901152552}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.00163345876110695}",-0.1089526571380014,"[-0.11268833079487761, -0.10521698348112518]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.001825525480239901}",-0.08448615131378578,"[-0.07634656237791337, -0.0926257402496582]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.001149887074711945}",-0.2090345503606138,"[-0.275416396411851, -0.1426527043093766]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.31467304061660045}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.2160082074140204}",0.005627170681324123,"[0.013724834697366184, -0.002470493334717938]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.407414465416623}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.86269052207149}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.24973286104060582}",-0.00028427031990002627,"[0.001994357742364561, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.024234724484675927}",0.09727847747149448,"[0.08727773478189804, 0.10727922016109093]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.21957734465394557}",0.005007743438693868,"[0.01257838525955235, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0022637229697395483}",-0.04863402735636979,"[-0.0318032077639423, -0.06546484694879728]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.08313101133778733}",0.0672222178487073,"[0.07052005290219654, 0.06392438279521806]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0026919058249260685}",-0.02503486499555929,"[-0.006365968568900593, -0.04370376142221799]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.6823493012435791}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.03677434662105213}",0.09577290454562476,"[0.092493471212035, 0.09905233787921452]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.017538232373118037}",0.09261206765131647,"[0.0787523234404448, 0.10647181186218813]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.006218230782016854}",0.05886812168138189,"[0.05679765410033044, 0.06093858926243334]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.21023308743480115}",0.007370327505591967,"[0.015541567261491807, -0.0008009122503078725]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.023358825194833552}",0.09681802740863699,"[0.08631737792631766, 0.10731867689095631]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.05073432032394333}",0.08964233997132437,"[0.08995667684906461, 0.08932800309358413]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0011385953381489414}",-0.21176314978384847,"[-0.2802685473044837, -0.14325775226321324]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.07126995609048578}",0.07665527466732724,"[0.07910381236870778, 0.0742067369659467]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.06859416411328696}",0.07867837602827488,"[0.08094392154437813, 0.07641283051217163]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.07092543214735832}",0.07691808625420277,"[0.07934627157319152, 0.07448990093521402]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.6780227021579832}",-0.0027444176152983113,"[-0.002925936848432009, -0.0025628983821646134]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.11103525577197582}",0.04575715069568831,"[0.04789130309606915, 0.04362299829530747]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.011981845126013869}",0.08891782341909482,"[0.07373192401821183, 0.10410372281997782]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.02046896396312667}",0.09461106756859361,"[0.08201319136325103, 0.1072089437739362]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.12384930898256401}",0.03892915003851122,"[0.04239097421593152, 0.035467325861090915]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0015159204611384714}",-0.12501915358989735,"[-0.13596610938418596, -0.11407219779560873]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.10006913513545575}",0.05406671952926634,"[0.05759893547097228, 0.0505345035875604]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.10278118224157008}",0.051939558745221104,"[0.055106823725641685, 0.04877229376480052]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.004277083049962069}",0.026326757817437207,"[0.033300716004212805, 0.01935279963066161]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.0024365700014642}",-0.03789588842653291,"[-0.019616878672483518, -0.0561748981805823]",3,1,60,True,
lasso,"{'max_iter': np.int64(10000), 'alpha': 0.008836597074694355}",0.07996451987917763,"[0.07155032345396695, 0.08837871630438832]",3,1,60,True,
