model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.713164249534621}",-0.07944306979149057,"[-0.23891522139606924, 0.0800290818130881]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1913469447807097}",-0.20189926147678772,"[-0.48712750016070316, 0.08332897720712773]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.343668232660404}",-0.05711748506927744,"[-0.1929021177850676, 0.07866714764651273]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 61.36045802294311}",0.002216594355327395,"[-0.05757224160666663, 0.06200543031732142]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.903039728888593}",-0.16045065121575408,"[-0.4035223173022382, 0.08262101487073004]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.05150608466081}",-0.025385695329608826,"[-0.12602669036994874, 0.07525529971073108]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24853845095262}",-0.1979448903888678,"[-0.4791610807360924, 0.0832712999583568]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 14.092291316435567}",-0.013700773142494516,"[-0.10025612121282945, 0.07285457492784042]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7382751981499337}",-0.1687344805530322,"[-0.42025198899132277, 0.08278302788525838]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3544655931853291}",-0.19095404166024194,"[-0.4650729196767627, 0.0831648363562788]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.748291778269796}",-0.052905614321109795,"[-0.18415564575913335, 0.07834441711691376]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.114900690488732}",-0.20739677272664625,"[-0.49819983305415105, 0.08340628760085855]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 30.677508679378768}",-0.0006269316119518753,"[-0.06772420399325085, 0.0664703407693471]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.10329669551879739}",-0.2082534129450505,"[-0.49992487015080056, 0.08341804426069954]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.800642976741367}",-0.022565970113478884,"[-0.11990848472157811, 0.07477654449462035]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6456897906217103}",-0.1736949878738464,"[-0.4302645411838095, 0.08287456543611671]",3,1,60,True,
