optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M39000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,39000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.277292,0.001149,5.389732,-2239.956873,1.19e-06,0.082019,-99.99,2016618665,E,1
P1E 23M39000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,39000.0,1.0,P,CMG,26925.0,12075.0,-99.99,-99.99,12075.0,0,0,,2.36038,-0.998217,7.526846,-2682.656935,1.61e-06,-106.717775,-99.99,2016618666,E,1
P1E 23M40000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,40000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.417467,0.001089,5.129605,-2263.071855,1.07e-06,0.077565,-99.99,2016618667,E,1
P1E 23M40000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,40000.0,1.0,P,CMG,26925.0,13075.0,-99.99,-99.99,13075.0,0,0,,2.521898,-0.998193,7.626834,-2904.195631,1.52e-06,-109.455718,-99.99,2016618668,E,1
P1E 23M41000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,41000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.553345,0.001036,4.902578,-2284.483968,9.7e-07,0.073697,-99.99,2016618669,E,1
P1E 23M41000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,41000.0,1.0,P,CMG,26925.0,14075.0,-99.99,-99.99,14075.0,0,0,,2.679471,-0.998169,7.725886,-3125.607302,1.45e-06,-112.193675,-99.99,2016618670,E,1
P1E 23M42000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,42000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.685199,0.00099,4.70253,-2304.423185,8.8e-07,0.070304,-99.99,2016618671,E,1
P1E 23M42000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,42000.0,1.0,P,CMG,26925.0,15075.0,-99.99,-99.99,15075.0,0,0,,2.83329,-0.998145,7.824041,-3346.891935,1.39e-06,-114.931645,-99.99,2016618672,E,1
P1E 23M43000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,43000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.813272,0.000949,4.52478,-2323.075809,8.1e-07,0.067302,-99.99,2016618673,E,1
P1E 23M43000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,43000.0,1.0,P,CMG,26925.0,16075.0,-99.99,-99.99,16075.0,0,0,,2.983534,-0.998121,7.921337,-3568.05005,1.34e-06,-117.669628,-99.99,2016618674,E,1
P1E 23M44000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,44000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,2.937783,0.000913,4.365683,-2340.594717,7.5e-07,0.064626,-99.99,2016618675,E,1
P1E 23M44000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,44000.0,1.0,P,CMG,26925.0,17075.0,-99.99,-99.99,17075.0,0,0,,3.130367,-0.998098,8.017804,-3789.080345,1.29e-06,-120.407623,-99.99,2016618676,E,1
P1E 23M45000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,45000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,3.058932,0.000881,4.222359,-2357.107126,6.9e-07,0.062223,-99.99,2016618677,E,1
